player_id,player_url,fifa_version,fifa_update,fifa_update_date,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,league_id,league_name,league_level,club_team_id,club_name,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,value_M,wage_K,avg_skill,position_group,growth_potential
158023,/player/158023/lionel-messi/230009,23,9,2023-01-13,L. Messi,Lionel Andrés Messi Cuccittini,RW,91,91,54000000.0,195000.0,35,1987-06-24,169,67,16.0,Ligue 1,1.0,73.0,Paris Saint Germain,RS,30.0,,2021-08-10,2023.0,52,Argentina,1369.0,RW,10.0,Left,4,4,5,Low/Low,Unique,Yes,99900000.0,"#Dribbler, #Distance Shooter, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Forward","Finesse Shot, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Chip Shot (AI), Technical Dribbler (AI)",81.0,89.0,90.0,94.0,34.0,64.0,84,90,70,91,88,95,93,93,90,93,87,76,91,92,95,86,68,70,68,91,44,40,93,94,75,96,20,35,24,6,11,15,14,8,,87+3,87+3,87+3,90,91,91,91,90,92-1,92-1,92-1,89+2,85+3,85+3,85+3,89+2,64+3,63+3,63+3,63+3,64+3,59+3,50+3,50+3,50+3,59+3,19+3,https://cdn.sofifa.net/players/158/023/23_120.png,54.0,195.0,75.3,Forward,0
165153,/player/165153/karim-benzema/230009,23,9,2023-01-13,K. Benzema,Karim Benzema,"CF, ST",91,91,64000000.0,450000.0,34,1987-12-19,185,81,53.0,La Liga,1.0,243.0,Real Madrid,CF,9.0,,2009-07-09,2023.0,18,France,,,,Right,4,4,4,Medium/Medium,Normal (170-185),Yes,131200000.0,"#Poacher, #Clinical Finisher","Leadership, Finesse Shot, Playmaker (AI), Outside Foot Shot, Team Player",80.0,88.0,83.0,87.0,39.0,78.0,75,92,90,89,88,87,82,73,76,91,79,80,78,92,72,87,79,82,82,80,63,39,92,89,84,90,43,24,18,13,11,5,5,7,,89+2,89+2,89+2,87,89,89,89,87,88+3,88+3,88+3,86+3,81+3,81+3,81+3,86+3,64+3,64+3,64+3,64+3,64+3,60+3,55+3,55+3,55+3,60+3,18+3,https://cdn.sofifa.net/players/165/153/23_120.png,64.0,450.0,75.8,Forward,0
188545,/player/188545/robert-lewandowski/230009,23,9,2023-01-13,R. Lewandowski,Robert Lewandowski,ST,91,91,84000000.0,420000.0,33,1988-08-21,185,81,53.0,La Liga,1.0,241.0,FC Barcelona,ST,9.0,,2022-07-18,2025.0,37,Poland,1353.0,ST,9.0,Right,4,4,5,High/Medium,Unique,Yes,172200000.0,"#Aerial Threat, #Distance Shooter, #Clinical Finisher, #Complete Forward","Solid Player, Finesse Shot, Outside Foot Shot, Chip Shot (AI)",75.0,91.0,79.0,86.0,44.0,83.0,71,94,91,84,89,85,79,85,70,89,76,75,77,93,82,91,85,76,87,84,81,49,94,81,90,88,35,42,19,15,6,12,8,10,,89+2,89+2,89+2,85,88,88,88,85,85+3,85+3,85+3,83+3,80+3,80+3,80+3,83+3,64+3,66+3,66+3,66+3,64+3,61+3,60+3,60+3,60+3,61+3,19+3,https://cdn.sofifa.net/players/188/545/23_120.png,84.0,420.0,76.3,Forward,0
192985,/player/192985/kevin-de-bruyne/230009,23,9,2023-01-13,K. De Bruyne,Kevin De Bruyne,"CM, CAM",91,91,107500000.0,350000.0,31,1991-06-28,181,75,13.0,Premier League,1.0,10.0,Manchester City,RCM,17.0,,2015-08-30,2025.0,7,Belgium,1325.0,RF,7.0,Right,5,4,4,High/Medium,Unique,Yes,198900000.0,"#Dribbler, #Playmaker, #Distance Shooter, #Crosser, #Complete Midfielder","Injury Prone, Leadership, Early Crosser, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",74.0,88.0,93.0,87.0,63.0,77.0,94,85,55,93,83,87,89,83,93,90,76,73,76,91,78,92,63,89,74,91,75,64,88,94,83,89,65,65,53,15,13,5,10,13,,83+3,83+3,83+3,87,87,87,87,87,89+2,89+2,89+2,88+3,89+2,89+2,89+2,88+3,78+3,79+3,79+3,79+3,78+3,74+3,68+3,68+3,68+3,74+3,21+3,https://cdn.sofifa.net/players/192/985/23_120.png,107.5,350.0,80.3,Midfielder,0
231747,/player/231747/kylian-mbappe/230009,23,9,2023-01-13,K. Mbappé,Kylian Mbappé Lottin,"ST, LW",91,95,190500000.0,230000.0,23,1998-12-20,182,73,16.0,Ligue 1,1.0,73.0,Paris Saint Germain,LS,7.0,,2018-07-01,2024.0,18,France,1335.0,LW,10.0,Right,4,5,4,High/Low,Unique,Yes,366700000.0,"#Speedster, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward","Solid Player, Flair, Speed Dribbler (AI), Outside Foot Shot, Technical Dribbler (AI)",97.0,89.0,80.0,92.0,36.0,76.0,78,93,72,85,83,93,80,69,71,91,97,97,93,93,81,88,77,87,76,82,64,38,92,83,80,88,26,34,32,13,5,7,11,6,,89+3,89+3,89+3,90,90,90,90,90,89+3,89+3,89+3,89+3,81+3,81+3,81+3,89+3,67+3,63+3,63+3,63+3,67+3,63+3,54+3,54+3,54+3,63+3,18+3,https://cdn.sofifa.net/players/231/747/23_120.png,190.5,230.0,78.3,Forward,4
209331,/player/209331/mohamed-salah/230009,23,9,2023-01-13,M. Salah,Mohamed Salah Ghaly,RW,90,90,115500000.0,270000.0,30,1992-06-15,175,71,13.0,Premier League,1.0,9.0,Liverpool,RW,11.0,,2017-07-01,2023.0,111,Egypt,,,,Left,3,4,4,High/Medium,Unique,Yes,213700000.0,"#Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward","Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot, Chip Shot (AI)",90.0,89.0,82.0,90.0,45.0,75.0,80,93,59,84,84,90,84,69,77,88,89,90,90,93,91,83,69,87,75,85,63,55,92,85,86,92,38,43,41,14,14,9,11,14,,86+3,86+3,86+3,88,88,88,88,88,88+2,88+2,88+2,87+3,82+3,82+3,82+3,87+3,71+3,68+3,68+3,68+3,71+3,67+3,58+3,58+3,58+3,67+3,22+3,https://cdn.sofifa.net/players/209/331/23_120.png,115.5,270.0,78.5,Forward,0
190871,/player/190871/neymar-da-silva-santos-jr/230009,23,9,2023-01-13,Neymar Jr,Neymar da Silva Santos Júnior,LW,89,89,99500000.0,200000.0,30,1992-02-05,175,68,16.0,Ligue 1,1.0,73.0,Paris Saint Germain,CAM,10.0,,2017-08-03,2025.0,54,Brazil,,,,Right,5,5,5,High/Medium,Unique,Yes,184100000.0,"#Dribbler, #FK Specialist, #Acrobat","Injury Prone, Flair, Speed Dribbler (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",87.0,83.0,85.0,93.0,37.0,61.0,83,83,63,85,86,95,88,87,81,94,88,86,93,88,82,79,62,79,52,81,63,37,86,90,91,93,35,32,29,9,9,15,15,11,,82+3,82+3,82+3,88,88,88,88,88,89,89,89,88+1,82+3,82+3,82+3,88+1,66+3,63+3,63+3,63+3,66+3,61+3,50+3,50+3,50+3,61+3,20+3,https://cdn.sofifa.net/players/190/871/23_120.png,99.5,200.0,74.3,Forward,0
200145,/player/200145/carlos-henrique-venancio-casimiro/230009,23,9,2023-01-13,Casemiro,Carlos Henrique Venancio Casimiro,CDM,89,89,86000000.0,240000.0,30,1992-02-23,185,84,13.0,Premier League,1.0,11.0,Manchester United,RDM,18.0,,2022-08-19,2026.0,54,Brazil,,,,Right,3,2,3,Medium/High,Unique,Yes,163400000.0,"#Tackling, #Tactician, #Strength, #Complete Defender","Power Free-Kick, Solid Player, Dives Into Tackles (AI), Long Passer (AI), Long Shot Taker (AI), Team Player",63.0,73.0,78.0,73.0,88.0,89.0,62,64,81,84,65,69,72,74,84,80,60,66,61,88,66,88,85,88,90,81,91,88,75,79,66,84,90,88,87,13,14,16,12,12,,76+3,76+3,76+3,73,76,76,76,73,76+3,76+3,76+3,74+3,82+3,82+3,82+3,74+3,81+3,86+3,86+3,86+3,81+3,82+3,87+2,87+2,87+2,82+3,21+3,https://cdn.sofifa.net/players/200/145/23_120.png,86.0,240.0,77.3,Midfielder,0
202126,/player/202126/harry-kane/230009,23,9,2023-01-13,H. Kane,Harry Kane,ST,89,89,105500000.0,240000.0,28,1993-07-28,188,89,13.0,Premier League,1.0,18.0,Tottenham Hotspur,ST,10.0,,2010-07-28,2024.0,14,England,1318.0,ST,9.0,Right,5,3,4,High/High,Unique,Yes,200500000.0,"#Distance Shooter, #Clinical Finisher","Leadership, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",69.0,91.0,83.0,83.0,47.0,82.0,80,93,85,84,87,83,82,65,86,86,67,70,68,92,73,92,79,83,83,86,80,44,94,87,92,92,50,36,38,8,10,11,14,11,,87+2,87+2,87+2,84,86,86,86,84,85+3,85+3,85+3,84+3,82+3,82+3,82+3,84+3,67+3,68+3,68+3,68+3,67+3,63+3,61+3,61+3,61+3,63+3,20+3,https://cdn.sofifa.net/players/202/126/23_120.png,105.5,240.0,75.8,Forward,0
203376,/player/203376/virgil-van-dijk/230009,23,9,2023-01-13,V. van Dijk,Virgil van Dijk,CB,89,89,84500000.0,220000.0,30,1991-07-08,193,92,13.0,Premier League,1.0,9.0,Liverpool,LCB,4.0,,2018-01-01,2025.0,34,Netherlands,105035.0,CB,4.0,Right,3,2,4,Medium/High,Unique,Yes,156300000.0,"#Tackling, #Tactician, #Strength, #Complete Defender","Leadership, Long Passer (AI), Power Header",81.0,60.0,71.0,72.0,90.0,86.0,53,52,86,79,45,70,60,70,86,76,68,91,61,89,53,81,88,74,93,64,85,89,47,65,62,90,91,91,86,13,10,13,11,11,,70+3,70+3,70+3,68,70,70,70,68,70+3,70+3,70+3,70+3,76+3,76+3,76+3,70+3,80+3,84+3,84+3,84+3,80+3,82+3,88+1,88+1,88+1,82+3,20+3,https://cdn.sofifa.net/players/203/376/23_120.png,84.5,220.0,76.7,Defender,0
